maquina,version,variante,p,t,N,k,B,repeticion,tiempo_s
DESKTOP-FUSRFCI,numpy,pesos,12,0,100000,300,48,0,2.775056
DESKTOP-FUSRFCI,numpy,pesos,12,0,100000,300,48,1,2.732097
DESKTOP-FUSRFCI,numpy,pesos,12,0,100000,300,48,2,2.740916
DESKTOP-FUSRFCI,numpy,pesos,13,0,100000,300,48,0,2.788110
DESKTOP-FUSRFCI,numpy,pesos,13,0,100000,300,48,1,2.777061
DESKTOP-FUSRFCI,numpy,pesos,13,0,100000,300,48,2,2.829393
DESKTOP-FUSRFCI,numpy,pesos,14,0,100000,300,48,0,2.871825
DESKTOP-FUSRFCI,numpy,pesos,14,0,100000,300,48,1,2.836495
DESKTOP-FUSRFCI,numpy,pesos,14,0,100000,300,48,2,2.886112
DESKTOP-FUSRFCI,numpy,pesos,15,0,100000,300,48,0,3.115991
DESKTOP-FUSRFCI,numpy,pesos,15,0,100000,300,48,1,3.045463
DESKTOP-FUSRFCI,numpy,pesos,15,0,100000,300,48,2,3.129615
DESKTOP-FUSRFCI,numpy,pesos,16,0,100000,300,48,0,3.235659
DESKTOP-FUSRFCI,numpy,pesos,16,0,100000,300,48,1,3.122788
DESKTOP-FUSRFCI,numpy,pesos,16,0,100000,300,48,2,3.368994
DESKTOP-FUSRFCI,numpy,pesos,1,1,100000,300,48,0,9.834108
DESKTOP-FUSRFCI,numpy,pesos,1,1,100000,300,48,1,9.794545
DESKTOP-FUSRFCI,numpy,pesos,1,1,100000,300,48,2,9.853573
DESKTOP-FUSRFCI,numpy,pesos,1,2,100000,300,48,0,7.487314
DESKTOP-FUSRFCI,numpy,pesos,1,2,100000,300,48,1,7.461783
DESKTOP-FUSRFCI,numpy,pesos,1,2,100000,300,48,2,7.463447
DESKTOP-FUSRFCI,numpy,pesos,1,3,100000,300,48,0,6.373274
DESKTOP-FUSRFCI,numpy,pesos,1,3,100000,300,48,1,6.289740
DESKTOP-FUSRFCI,numpy,pesos,1,3,100000,300,48,2,6.435054
DESKTOP-FUSRFCI,numpy,pesos,1,4,100000,300,48,0,5.819277
DESKTOP-FUSRFCI,numpy,pesos,1,4,100000,300,48,1,5.793852
DESKTOP-FUSRFCI,numpy,pesos,1,4,100000,300,48,2,5.828578
DESKTOP-FUSRFCI,numpy,pesos,1,5,100000,300,48,0,5.532739
DESKTOP-FUSRFCI,numpy,pesos,1,5,100000,300,48,1,5.514508
DESKTOP-FUSRFCI,numpy,pesos,1,5,100000,300,48,2,5.944381
DESKTOP-FUSRFCI,numpy,pesos,1,6,100000,300,48,0,5.446533
DESKTOP-FUSRFCI,numpy,pesos,1,6,100000,300,48,1,5.381998
DESKTOP-FUSRFCI,numpy,pesos,1,6,100000,300,48,2,5.409684
DESKTOP-FUSRFCI,numpy,pesos,1,7,100000,300,48,0,5.309763
DESKTOP-FUSRFCI,numpy,pesos,1,7,100000,300,48,1,5.328392
DESKTOP-FUSRFCI,numpy,pesos,1,7,100000,300,48,2,5.368302
DESKTOP-FUSRFCI,numpy,pesos,1,8,100000,300,48,0,5.327689
DESKTOP-FUSRFCI,numpy,pesos,1,8,100000,300,48,1,5.323372
DESKTOP-FUSRFCI,numpy,pesos,1,8,100000,300,48,2,5.363159
DESKTOP-FUSRFCI,numpy,pesos,1,9,100000,300,48,0,5.235454
DESKTOP-FUSRFCI,numpy,pesos,1,9,100000,300,48,1,5.248591
DESKTOP-FUSRFCI,numpy,pesos,1,9,100000,300,48,2,5.313007
DESKTOP-FUSRFCI,numpy,pesos,1,10,100000,300,48,0,5.429275
DESKTOP-FUSRFCI,numpy,pesos,1,10,100000,300,48,1,5.314056
DESKTOP-FUSRFCI,numpy,pesos,1,10,100000,300,48,2,5.356322
DESKTOP-FUSRFCI,numpy,pesos,1,11,100000,300,48,0,5.366538
DESKTOP-FUSRFCI,numpy,pesos,1,11,100000,300,48,1,5.381106
DESKTOP-FUSRFCI,numpy,pesos,1,11,100000,300,48,2,5.379620
DESKTOP-FUSRFCI,numpy,pesos,1,12,100000,300,48,0,5.413763
DESKTOP-FUSRFCI,numpy,pesos,1,12,100000,300,48,1,5.407261
DESKTOP-FUSRFCI,numpy,pesos,1,12,100000,300,48,2,5.490033
DESKTOP-FUSRFCI,numpy,pesos,1,13,100000,300,48,0,5.517866
DESKTOP-FUSRFCI,numpy,pesos,1,13,100000,300,48,1,5.621822
DESKTOP-FUSRFCI,numpy,pesos,1,13,100000,300,48,2,5.548228
DESKTOP-FUSRFCI,numpy,pesos,1,14,100000,300,48,0,5.438616
DESKTOP-FUSRFCI,numpy,pesos,1,14,100000,300,48,1,5.333995
DESKTOP-FUSRFCI,numpy,pesos,1,14,100000,300,48,2,5.313874
